레시피ID,레시피명,메뉴 대분류,세부 카테고리,주재료,조리 유형,상황 태그,식사 유형,매운맛,기준 인분,재료명,재료 분량,재료 수,총 소요 시간(분),난이도,필요 도구,설거지 수준,조리 단계 수,조리 단계,단계별 시간,불 세기,보관 방법,재가열 방법,대체 재료,생략 가능 재료,초보 팁,실패 방지 팁,초보 적합도(5점),1인 가구 적합도(5점)
R0090,비빔만두,간식·야식,만두,"[냉동만두, 양배추, 오이]","[굽기, 무치기]","[원팬 요리, 야식]","[간식, 야식]",매움,1인분,"[냉동만두, 양배추, 오이, 당근, 상추, 고추장, 식초, 설탕, 진간장, 고춧가루, 참기름, 식용유, 물]","[6개(180g), 80g, 40g, 20g, 30g, 15g(1큰술), 15ml(1큰술), 8g(2작은술), 5ml(1작은술), 2g, 5ml(1작은술), 5ml, 45ml]",13,18,쉬움,"[칼, 도마, 볼, 프라이팬, 뚜껑, 집게]",보통,6,"[1. 양배추, 오이, 당근은 가늘게 채 썰고 상추는 한입 크기로 자른다. ,  2. 볼에 고추장, 식초, 설탕, 진간장, 고춧가루, 참기름을 섞는다. ,  3. 팬에 식용유를 두르고 만두의 평평한 면을 2분 굽는다. ,  4. 물 45ml를 붓고 뚜껑을 덮어 중약불에서 5분 익힌 뒤 물기를 날린다. ,  5. 채소를 양념에 넣고 20초만 가볍게 버무린다. ,  6. 접시에 비빔채소와 바삭한 만두를 따로 담아 먹기 직전에 곁들인다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 2분 ,  4. 5분 ,  5. 20초 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중불 ,  4. 중약불 ,  5. 중약불 ,  6. 불 사용 없음]",완성 즉시 먹는다; 만두는 냉장 1일 후 에어프라이어 180℃ 4분 재가열 가능; 무친 채소는 당일 섭취,만두는 냉장 1일 후 에어프라이어 180℃ 4분 재가열 가능,[냉동만두는 군만두 또는 물만두로 대체 가능],[당근·상추는 생략 가능; 덜 맵게 하려면 고춧가루를 생략한다],채소의 물기를 충분히 뺀 뒤 먹기 직전에 양념하면 물이 덜 생기고 간도 흐려지지 않는다.,만두와 무친 채소를 미리 섞으면 만두가 눅눅해진다. 접시에 따로 담아 먹기 직전에 합친다.,4,4
R0091,비빔밥,밥·덮밥,비빔밥,"[밥, 콩나물, 시금치]","[데치기, 볶기, 굽기, 비비기]","[도시락 가능, 든든한 한 끼]",[점심·저녁],약간 매움,1인분,"[밥, 콩나물, 시금치, 당근, 애호박, 계란, 식용유, 소금, 참기름, 고추장, 설탕, 통깨]","[200g, 70g, 60g, 40g, 60g, 1개(50g), 10ml(2작은술), 1.5g, 7.5ml(1/2큰술), 20g(1큰술+1작은술), 3g, 2g]",12,30,보통,"[칼, 도마, 냄비, 체, 프라이팬, 뒤집개, 큰 그릇]",많음,7,"[1. 당근과 애호박은 가늘게 채 썰고 시금치는 5cm 길이로 자른다. ,  2. 콩나물은 끓는 물에 3분, 시금치는 40초 데쳐 찬물에 헹군 뒤 물기를 짠다. ,  3. 콩나물과 시금치에 각각 소금 0.3g과 참기름 1ml를 넣어 무친다. ,  4. 팬에 식용유 5ml를 두르고 당근을 2분, 애호박을 2분 차례로 볶아 각각 소금 0.2g으로 간한다. ,  5. 같은 팬에 남은 식용유를 두르고 계란프라이를 만든다. ,  6. 고추장, 설탕, 남은 참기름, 통깨를 섞어 양념장을 만든다. ,  7. 밥 위에 나물과 계란을 올리고 양념장을 곁들여 비빈다.]","[1. 약 3분 ,  2. 3분 + 40초 ,  3. 약 1분 ,  4. 2분 + 2분 ,  5. 약 1분 ,  6. 약 1분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 중불 ,  5. 중불 ,  6. 불 사용 없음 ,  7. 불 사용 없음]","나물은 각각 밀폐 냉장 2일, 밥은 별도 냉장 1일",먹기 전 밥과 나물을 각각 중심까지 뜨겁게 데우고 새 계란을 부쳐 올린다,"[채소는 총 230g 범위에서 2~3가지만 사용 가능,  계란은 참치 60g 또는 두부 100g으로 대체 가능,  고추장은 간장 10ml로 대체 가능]",[없음],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,여러 채소를 한 팬에서 동시에 볶으면 물이 생긴다. 단단한 채소부터 따로 짧게 볶고 그릇에 덜어낸다.,3,4
R0092,삼겹살구이,메인요리,구이,"[삼겹살, 상추, 김치]",[굽기],"[원팬 요리, 칼 없이 가능, 든든한 한 끼, 밥반찬]",[점심·저녁],약간 매움,1인분,"[삼겹살, 소금, 후추, 마늘, 상추, 쌈장, 김치]","[200g, 1g, 0.1g, 4쪽(20g), 8장(80g), 20g(1큰술+1작은술), 80g(선택)]",7,18,매우 쉬움,"[가위 또는 칼, 도마, 프라이팬, 집게, 키친타월]",보통,7,"[1. 상추는 씻어 물기를 빼고 마늘은 편으로 썬다. ,  2. 차가운 프라이팬에 삼겹살을 겹치지 않게 올리고 중불을 켠다. ,  3. 한 면을 3분 굽고 기름이 나오면 뒤집어 2분 굽는다. ,  4. 가위로 4cm 길이로 자르고 마늘과 김치를 팬 한쪽에 올린다. ,  5. 고기를 굴려가며 3~4분 더 익히고 나온 기름은 키친타월로 한두 번 닦는다. ,  6. 고기 속에 붉은 부분이 없고 가장자리가 노릇하면 소금과 후추를 뿌린다. ,  7. 상추와 쌈장을 곁들여 바로 먹는다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 3분 + 2분 ,  4. 약 3분 ,  5. 3~4분 ,  6. 약 1분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 중불 ,  4. 중불 ,  5. 불 사용 없음 ,  6. 불 사용 없음 ,  7. 불 사용 없음]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,팬 약불 3분 또는 에어프라이어 170℃ 4분 재가열,"[삼겹살은 목살 200g으로 대체 가능,  쌈장은 소금 0.5g으로 대체 가능]",[상추·마늘·김치는 생략 가능],재료 표면의 물기를 닦고 팬을 충분히 예열한 뒤 올리면 달라붙음과 물 생김을 줄일 수 있다.,기름이 과하게 쌓이면 튀고 고기가 튀겨진다. 중간에 키친타월로 기름을 닦되 화상에 주의한다.,4,3
R0093,상추겉절이,반찬,무침,"[상추, 양파]","[불 사용 없음, 무치기]","[10분 이하, 불 없이 가능, 설거지 적음, 도시락 가능, 밥반찬]",[점심·저녁],약간 매움,1인분,"[상추, 양파, 대파, 고춧가루, 진간장, 식초, 설탕, 참기름, 통깨]","[100g, 30g, 8g, 3g(1/2큰술), 10ml(2작은술), 10ml(2작은술), 5g(1작은술), 5ml(1작은술), 1g]",9,7,매우 쉬움,"[칼, 도마, 큰 볼, 위생장갑]",적음,5,"[1. 상추는 씻어 물기를 완전히 빼고 손으로 5cm 크기로 뜯는다. ,  2. 양파는 얇게 채 썰고 대파는 잘게 썬다. ,  3. 큰 볼에 고춧가루, 진간장, 식초, 설탕, 참기름을 섞는다. ,  4. 양파와 대파를 양념에 먼저 넣어 20초 섞는다. ,  5. 상추와 통깨를 넣고 손끝으로 15초만 가볍게 버무린다.]","[1. 약 3분 ,  2. 약 3분 ,  3. 약 1분 ,  4. 20초 ,  5. 15초]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 불 사용 없음 ,  5. 불 사용 없음]",먹기 직전에 무쳐 즉시 섭취; 남으면 밀폐 냉장 1일이나 숨이 죽는다; 재가열·냉동 금지,재가열·냉동 금지,[없음],[양파·대파·통깨는 생략 가능; 고춧가루는 생략해 간장식초 겉절이로 만들 수 있다],채소의 물기를 충분히 뺀 뒤 먹기 직전에 양념하면 물이 덜 생기고 간도 흐려지지 않는다.,상추 물기가 남으면 양념이 묽고 금방 숨이 죽는다. 씻은 뒤 충분히 말리고 마지막에 짧게 버무린다.,5,5
R0094,새우 감바스,메인요리,해산물 요리,"[새우, 마늘, 식빵]",[볶기],"[원팬 요리, 든든한 한 끼, 야식, 밥반찬]","[점심·저녁, 야식]",약간 매움,1인분,"[손질 냉동새우, 올리브유, 마늘, 페페론치노, 소금, 후추, 파슬리가루, 식빵]","[150g, 70ml, 6쪽(30g), 2개(0.5g, 선택), 1g, 0.1g, 0.2g, 2장(70g, 선택)]",8,18,쉬움,"[키친타월, 칼, 도마, 작은 프라이팬, 집게]",보통,7,"[1. 냉동새우는 찬물에 10분 해동한 뒤 키친타월로 물기를 완전히 닦는다. ,  2. 마늘은 0.3cm 두께로 편 썰고 페페론치노는 반으로 자른다. ,  3. 작은 팬에 올리브유와 마늘을 넣고 약불에서 4분 천천히 익힌다. ,  4. 마늘 가장자리가 연한 금색이 되면 페페론치노와 새우를 넣는다. ,  5. 중약불에서 새우 앞뒤를 각각 2분씩 익힌다. ,  6. 새우가 전체적으로 불투명하고 C자 모양이 되면 소금과 후추를 넣는다. ,  7. 불을 끄고 파슬리를 뿌려 구운 식빵과 곁들인다.]","[1. 10분 ,  2. 약 3분 ,  3. 4분 ,  4. 약 1분 ,  5. 총 4분(앞뒤 각 2분) ,  6. 약 1분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 약불 ,  4. 불 사용 없음 ,  5. 중약불 ,  6. 불 사용 없음 ,  7. 불 끔]",가능하면 즉시 먹는다; 남으면 밀폐 냉장 1일; 냉동 비추천,팬 약불에서 2~3분 중심까지 뜨겁게 데운다,[올리브유는 식용유 50ml로 대체 가능하지만 향은 달라진다],[페페론치노와 파슬리는 생략 가능; 식빵은 생략 가능],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",새우 물기가 남으면 기름이 심하게 튄다. 완전히 닦고 마늘은 약불에서 익혀 타지 않게 한다.,3,3
R0095,새우볶음밥,볶음밥,볶음밥,"[밥, 새우, 계란]","[전자레인지, 볶기]","[15분 이하, 원팬 요리, 전자레인지, 도시락 가능, 든든한 한 끼, 남은 재료 활용]",[점심·저녁],없음,1인분,"[밥, 손질 새우, 계란, 대파, 당근, 양파, 식용유, 진간장, 소금, 후추, 참기름]","[200g, 100g, 1개(50g), 20g, 30g, 30g, 10ml(2작은술), 7.5ml(1/2큰술), 0.5g, 0.1g, 2.5ml(1/2작은술)]",11,15,쉬움,"[키친타월, 칼, 도마, 볼, 프라이팬, 뒤집개]",보통,7,"[1. 새우는 해동해 물기를 닦고 당근·양파는 0.5cm 크기, 대파는 송송 썬다. ,  2. 계란은 볼에 풀고 찬밥은 전자레인지 700W에서 40초 데워 풀어둔다. ,  3. 팬에 식용유 절반을 두르고 중불에서 새우를 앞뒤 1분씩 익혀 접시에 꺼낸다. ,  4. 남은 기름에 대파, 당근, 양파를 2분 볶는다. ,  5. 계란물을 넣어 반쯤 익으면 밥을 넣고 3분 볶는다. ,  6. 새우와 진간장을 넣고 1분 더 볶는다. ,  7. 새우가 불투명하게 익고 밥이 고슬해지면 소금, 후추, 참기름으로 마무리한다.]","[1. 약 1분 ,  2. 40초 ,  3. 총 2분(앞뒤 각 1분) ,  4. 2분 ,  5. 3분 ,  6. 1분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 전자레인지 700W ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 중불 ,  7. 중불]",빠르게 식혀 밀폐 냉장 1일,"전자레인지 700W에서 2분, 중간에 한 번 섞어 중심까지 뜨겁게 데운다",[새우는 햄 70g 또는 참치 60g으로 대체 가능],[당근·양파 중 하나는 생략 가능; 참기름은 생략 가능],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,해동 새우의 물기를 닦지 않으면 밥이 질어진다. 새우를 먼저 따로 익혀 나온 물을 날린다.,4,5
R0096,샐러드빵,샌드위치·토스트,샌드위치,"[빵, 양배추, 오이]","[불 사용 없음, 무치기, 조립하기]","[15분 이하, 불 없이 가능, 설거지 적음, 도시락 가능, 아침 식사, 든든한 한 끼]","[아침, 점심·저녁]",없음,1인분,"[핫도그빵 또는 모닝빵, 양배추, 오이, 당근, 마요네즈, 케첩, 설탕, 소금, 후추, 슬라이스 햄]","[2개(80g), 80g, 30g, 20g, 25g, 10g, 3g, 0.8g, 0.1g, 1장(25g, 선택)]",10,15,매우 쉬움,"[칼, 도마, 볼, 키친타월]",적음,6,"[1. 양배추와 당근은 가늘게 채 썰고 오이는 얇게 썬다. ,  2. 오이에 소금 0.3g을 뿌려 5분 두었다가 물기를 꼭 짠다. ,  3. 볼에 채소, 마요네즈, 설탕, 남은 소금, 후추를 넣어 섞는다. ,  4. 빵 가운데에 길게 칼집을 내되 바닥까지 자르지 않는다. ,  5. 햄을 사용할 경우 빵 안쪽에 깔고 샐러드를 채운다. ,  6. 케첩을 위에 뿌려 바로 먹는다.]","[1. 약 3분 ,  2. 5분 ,  3. 약 1분 ,  4. 약 2분 ,  5. 약 1분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 불 사용 없음 ,  5. 불 사용 없음 ,  6. 불 사용 없음]",완성 즉시 먹는다; 랩으로 밀봉해 냉장 1일; 샐러드와 빵을 따로 보관하면 덜 눅눅하다,재가열하지 않는다,[마요네즈 절반을 플레인 요거트로 대체 가능],[햄은 생략 가능; 오이·당근 중 하나는 생략 가능],채소의 물기를 충분히 뺀 뒤 먹기 직전에 양념하면 물이 덜 생기고 간도 흐려지지 않는다.,오이 물기를 충분히 짜지 않으면 빵이 눅눅해진다. 샐러드는 빵에 넣기 직전에 섞는다.,5,4
R0097,소고기 무국,국·탕,국,"[소고기, 무]","[볶기, 끓이기]","[냄비 하나, 설거지 적음, 냉동 가능]",[점심·저녁],없음,1인분,"[소고기 국거리, 무, 대파, 물, 국간장, 다진 마늘, 참기름, 소금, 후추]","[100g, 150g, 15g, 600ml, 10ml(2작은술), 3g, 5ml(1작은술), 0.8g, 0.1g]",9,25,쉬움,"[칼, 도마, 냄비, 국자]",적음,7,"[1. 무는 0.5cm 두께, 3cm 크기로 썰고 대파는 어슷하게 썬다. ,  2. 냄비에 참기름을 두르고 중불에서 소고기를 2분 볶는다. ,  3. 무를 넣고 가장자리가 반투명해질 때까지 2분 더 볶는다. ,  4. 물을 붓고 센불에서 끓여 떠오르는 거품을 걷는다. ,  5. 중약불로 낮춰 15분 끓인다. ,  6. 국간장과 다진 마늘을 넣어 2분 끓인다. ,  7. 무가 부드럽고 고기가 익으면 대파, 소금, 후추로 마무리한다.]","[1. 약 3분 ,  2. 2분 ,  3. 2분 ,  4. 약 2분 ,  5. 15분 ,  6. 2분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 중불 ,  4. 센 불 ,  5. 중약불 ,  6. 중약불 ,  7. 중약불]",밀폐 냉장 3일; 소분 냉동 2주 가능,냄비에서 완전히 끓인 뒤 2분 가열,"[소고기는 돼지고기 앞다리살 100g 또는 두부 120g으로 대체 가능,  참기름은 식용유 5ml로 대체 가능]",[없음],"재료를 비슷한 크기로 썰고, 끓기 시작한 뒤 불을 낮춘 다음 마지막에 간을 맞춘다.",거품을 걷지 않으면 국물이 탁하고 잡내가 날 수 있다. 끓기 시작한 첫 3분 동안만 가볍게 걷는다.,4,5
R0098,소고기 미역국,국·탕,국,"[미역, 소고기]","[볶기, 끓이기]","[냄비 하나, 칼 없이 가능, 냉동 가능, 아침 식사]","[아침, 점심·저녁]",없음,1인분,"[마른 미역, 소고기 국거리, 물, 국간장, 다진 마늘, 참기름, 소금]","[8g, 80g, 600ml, 12.5ml(2.5작은술), 3g, 5ml(1작은술), 0.5g]",7,25,쉬움,"[볼, 체, 가위, 냄비, 국자]",보통,7,"[1. 미역은 찬물에 10분 불려 두 번 헹군 뒤 물기를 짜고 4cm 길이로 자른다. ,  2. 냄비에 참기름을 두르고 중불에서 소고기를 2분 볶는다. ,  3. 불린 미역을 넣고 2분 더 볶는다. ,  4. 물을 붓고 센불에서 끓여 거품을 걷는다. ,  5. 중약불로 낮춰 15분 끓인다. ,  6. 국간장과 다진 마늘을 넣고 3분 더 끓인다. ,  7. 미역과 고기가 부드러우면 소금으로 간한다.]","[1. 10분 ,  2. 2분 ,  3. 2분 ,  4. 약 2분 ,  5. 15분 ,  6. 3분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 중불 ,  3. 중불 ,  4. 센 불 ,  5. 중약불 ,  6. 중약불 ,  7. 중약불]",밀폐 냉장 3일; 소분 냉동 2주 가능,냄비에서 완전히 끓인 뒤 2분 가열,"[소고기는 참치 60g 또는 바지락살 80g으로 대체 가능,  참기름은 들기름으로 대체 가능]",[다진 마늘은 생략 가능],"재료를 비슷한 크기로 썰고, 끓기 시작한 뒤 불을 낮춘 다음 마지막에 간을 맞춘다.",미역을 너무 많이 넣으면 국물이 지나치게 걸쭉해진다. 마른 미역 8g을 계량하고 불린 뒤 물기를 짠다.,4,5
R0099,소고기 불고기,메인요리,볶음,"[소고기, 양파, 당근]",[볶기],"[원팬 요리, 도시락 가능, 든든한 한 끼, 밥반찬]",[점심·저녁],없음,1인분,"[소고기 불고기용, 양파, 당근, 대파, 버섯, 식용유, 진간장, 설탕, 맛술, 다진 마늘, 참기름, 후추]","[180g, 1/4개(50g), 20g, 20g, 60g, 5ml, 22.5ml(1큰술+1/2큰술), 8g, 15ml, 5g, 5ml, 0.1g]",12,20,쉬움,"[칼, 도마, 볼, 프라이팬, 집게]",보통,6,"[1. 양파는 0.5cm 두께, 당근은 가늘게, 대파는 어슷하게, 버섯은 먹기 좋게 썬다. ,  2. 볼에 진간장, 설탕, 맛술, 다진 마늘, 참기름, 후추를 섞는다. ,  3. 소고기와 손질한 채소를 넣고 고기를 풀어 5분 재운다. ,  4. 팬에 식용유를 두르고 중강불에서 고기를 펼쳐 2분 볶는다. ,  5. 채소와 함께 3분 더 볶는다. ,  6. 고기가 갈색으로 완전히 익고 팬의 물기가 거의 없어지면 불을 끈다.]","[1. 약 1분 ,  2. 약 1분 ,  3. 5분 ,  4. 2분 ,  5. 3분 ,  6. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 중강불 ,  5. 중강불 ,  6. 불 끔]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,팬에 물 10ml를 넣어 3분 또는 전자레인지 700W 1분 30초 이상 재가열,"[맛술은 물로 대체 가능,  소고기는 돼지고기 앞다리살 180g으로 대체 가능]",[버섯과 당근은 생략 가능],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",고기를 오래 재우거나 약불에서 오래 볶으면 질겨진다. 5분만 재우고 충분히 달군 팬에서 빠르게 익힌다.,4,4
R0100,소고기 숙주볶음,메인요리,볶음,"[소고기, 숙주, 양파]",[볶기],"[15분 이하, 원팬 요리, 설거지 적음, 도시락 가능, 든든한 한 끼, 밥반찬, 남은 재료 활용]",[점심·저녁],없음,1인분,"[소고기 불고기용, 숙주, 양파, 대파, 식용유, 굴소스, 진간장, 설탕, 다진 마늘, 후추, 참기름]","[150g, 180g, 1/4개(50g), 20g, 10ml(2작은술), 10ml(2작은술), 7.5ml(1/2큰술), 2g, 3g, 0.1g, 2.5ml]",11,15,쉬움,"[칼, 도마, 큰 프라이팬, 집게]",적음,7,"[1. 숙주는 씻어 체에 밭쳐 물기를 충분히 뺀다. ,  2. 양파는 0.5cm 두께, 대파는 어슷하게 썬다. ,  3. 팬에 식용유를 두르고 중강불에서 소고기를 펼쳐 2분 볶는다. ,  4. 양파, 대파, 다진 마늘을 넣어 1분 볶는다. ,  5. 굴소스, 진간장, 설탕, 후추를 넣어 30초 섞는다. ,  6. 숙주를 넣고 중강불에서 2분만 빠르게 볶는다. ,  7. 숙주가 살짝 숨이 죽고 고기가 익으면 불을 끄고 참기름을 넣는다.]","[1. 약 2분 ,  2. 약 1분 ,  3. 2분 ,  4. 1분 ,  5. 30초 ,  6. 2분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 중강불 ,  4. 중강불 ,  5. 불 사용 없음 ,  6. 중강불 ,  7. 불 끔]",조리 후 2시간 안에 밀폐 냉장하고 1일 이내 섭취; 냉동 비추천,전자레인지 700W 1분 30초 이상 중심까지 뜨겁게 데운다,"[소고기는 대패삼겹살 150g으로 대체 가능,  굴소스는 진간장 5ml+설탕 1g으로 대체 가능]",[대파는 생략 가능],"재료와 양념을 불을 켜기 전에 모두 꺼내 두고, 팬에 물이 생기지 않도록 한 번에 너무 많이 넣지 않는다.",숙주를 오래 볶으면 물이 많이 생긴다. 충분히 물기를 빼고 마지막에 넣어 2분만 익힌다.,4,4
R0101,소고기 장조림,반찬,장조림,[소고기],[조리기],"[냄비 하나, 도시락 가능, 냉동 가능, 밥반찬]",[점심·저녁],없음,1인분,"[소고기 홍두깨살 또는 우둔살, 물, 진간장, 설탕, 맛술, 대파 흰 부분, 마늘, 통후추, 꽈리고추]","[180g, 650ml, 50ml(3큰술+1작은술), 10g(2작은술), 15ml(1큰술), 20g, 3쪽(15g), 5알(0.2g), 40g(선택)]",9,55,보통,"[냄비, 집게, 칼, 도마, 밀폐용기]",보통,7,"[1. 소고기는 5cm 크기 덩어리로 자르고 찬물에 10분 담갔다가 물기를 닦는다. ,  2. 냄비에 고기, 물 550ml, 대파, 마늘, 통후추를 넣고 센불에서 끓인다. ,  3. 끓으면 거품을 걷고 중약불에서 30분 삶는다. ,  4. 고기를 꺼내 5분 식힌 뒤 결대로 먹기 좋은 굵기로 찢는다. ,  5. 깨끗한 냄비에 찢은 고기, 삶은 물 200ml, 진간장, 설탕, 맛술을 넣는다. ,  6. 중약불에서 12분 조리고 꽈리고추를 사용할 경우 마지막 3분에 넣는다. ,  7. 국물이 100ml 정도 남고 고기에 간이 배면 불을 끄고 국물 속에서 식힌다.]","[1. 10분 ,  2. 약 2분 ,  3. 30분 ,  4. 5분 ,  5. 약 2분 ,  6. 12분 + 3분 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 센 불 ,  3. 중약불 ,  4. 불 사용 없음 ,  5. 중약불 ,  6. 중약불 ,  7. 불 끔]",국물과 함께 밀폐 냉장 5일; 소분 냉동 3주 가능,먹을 만큼만 덜어 전자레인지 700W 1분 또는 냄비 약불 3분 가열,"[홍두깨살은 우둔살 또는 사태로 대체 가능,  맛술은 물로 대체 가능]",[꽈리고추와 통후추는 생략 가능],"양념은 불을 켜기 전에 한 그릇에 미리 섞고, 국물이 빨리 줄면 물을 1큰술씩 보충한다.",간장을 넣은 상태로 처음부터 오래 삶으면 고기가 단단해진다. 물에 충분히 삶아 찢은 뒤 간장에 짧게 조린다.,3,4
R0102,소고기 찹스테이크,메인요리,스테이크,"[소고기, 양파, 파프리카]",[굽기],"[원팬 요리, 도시락 가능, 든든한 한 끼, 밥반찬]",[점심·저녁],없음,1인분,"[소고기 등심 또는 부채살, 양파, 파프리카, 새송이버섯, 식용유, 소금, 후추, 케첩, 돈까스소스, 진간장, 설탕, 다진 마늘, 물]","[180g, 1/4개(50g), 80g, 60g, 10ml(2작은술), 1g, 0.1g, 20g(1큰술+1작은술), 15g(1큰술), 5ml(1작은술), 3g, 3g, 30ml]",13,22,보통,"[칼, 도마, 키친타월, 프라이팬, 집게, 작은 그릇]",보통,7,"[1. 소고기는 3cm 크기로 자르고 물기를 닦아 소금과 후추를 뿌린다. ,  2. 양파, 파프리카, 버섯도 3cm 크기로 썬다. ,  3. 케첩, 돈까스소스, 진간장, 설탕, 다진 마늘, 물을 섞는다. ,  4. 팬에 식용유를 두르고 중강불에서 소고기를 겹치지 않게 올려 2분 굽는다. ,  5. 고기를 뒤집어 1분 더 굽고 접시에 잠시 꺼낸다. ,  6. 같은 팬에 채소를 3분 볶은 뒤 소스와 고기를 다시 넣는다. ,  7. 중불에서 2분 볶아 소스가 고르게 묻고 고기 속의 붉은 생고기 부분이 없으면 불을 끈다.]","[1. 약 3분 ,  2. 약 1분 ,  3. 약 1분 ,  4. 2분 ,  5. 1분 ,  6. 3분 ,  7. 2분]","[1. 불 사용 없음 ,  2. 불 사용 없음 ,  3. 불 사용 없음 ,  4. 중강불 ,  5. 불 사용 없음 ,  6. 중불 ,  7. 중불→불 끔]",조리 후 2시간 안에 밀폐 냉장하고 2일 이내 섭취,팬에 물 10ml를 넣어 약불 3분 또는 전자레인지 700W 1분 30초 재가열,"[소고기는 돼지 목살 180g으로 대체 가능,  파프리카는 피망 또는 양배추 80g으로 대체 가능]",[버섯은 생략 가능],재료 표면의 물기를 닦고 팬을 충분히 예열한 뒤 올리면 달라붙음과 물 생김을 줄일 수 있다.,고기와 채소를 처음부터 함께 볶으면 고기가 질겨진다. 고기를 먼저 짧게 굽고 꺼낸 뒤 마지막에 다시 넣는다.,3,3
R0103,소시지 볶음밥,볶음밥,볶음밥,"[밥, 소시지, 계란]","[전자레인지, 볶기]","[15분 이하, 원팬 요리, 전자레인지, 도시락 가능, 든든한 한 끼, 남은 재료 활용]",[점심·저녁],없음,1인분,"[밥, 비엔나소시지, 계란, 양파, 당근, 대파, 식용유, 진간장, 케첩, 소금, 후추]","[200g, 80g, 1개(50g), 40g, 30g, 15g, 10ml(2작은술), 7.5ml(1/2큰술), 10g(2작은술, 선택), 0.3g, 0.1g]",11,15,매우 쉬움,"[칼, 도마, 볼, 프라이팬, 뒤집개]",보통,7,"[1. 소시지는 0.7cm 두께, 양파와 당근은 0.5cm 크기, 대파는 송송 썬다. ,  2. 찬밥은 전자레인지 700W에서 40초 데워 풀고 계란은 볼에 푼다. ,  3. 팬에 식용유를 두르고 중불에서 소시지와 대파를 2분 볶는다. ,  4. 양파와 당근을 넣어 2분 더 볶는다. ,  5. 계란물을 넣고 반쯤 익으면 밥을 넣어 3분 볶는다. ,  6. 진간장과 케첩을 팬 가장자리에 넣어 10초 끓인 뒤 전체를 섞는다. ,  7. 밥이 고슬해지면 소금과 후추로 마무리한다.]","[1. 약 1분 ,  2. 40초 ,  3. 2분 ,  4. 2분 ,  5. 3분 ,  6. 10초 ,  7. 약 1분]","[1. 불 사용 없음 ,  2. 전자레인지 700W ,  3. 중불 ,  4. 중불 ,  5. 중불 ,  6. 중불 ,  7. 불 사용 없음]",빠르게 식혀 밀폐 냉장 1일,"전자레인지 700W에서 2분, 중간에 한 번 섞어 중심까지 뜨겁게 데운다",[소시지는 스팸 60g 또는 햄 70g으로 대체 가능],[계란·당근·케첩은 생략 가능],밥은 미리 따뜻하게 풀어 두고 양념은 절반만 먼저 넣은 뒤 맛을 보고 추가한다.,소시지와 케첩에 이미 간이 있다. 소금은 마지막에 맛을 본 뒤 0.3g 이하만 넣는다.,5,5
